Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-01-03,23.6613,23.6613,23.6613,23.6613
2020-01-08,23.812,23.812,23.812,23.812
2020-01-09,24.1484,24.1484,24.1484,24.1484
2020-01-10,23.935,23.935,23.935,23.935
2020-01-13,23.9178,23.9178,23.9178,23.9178
2020-01-14,24.0171,24.0171,24.0171,24.0171
2020-01-15,24.0152,24.0152,24.0152,24.0152
2020-01-16,24.1373,24.1373,24.1373,24.1373
2020-01-17,24.3306,24.3306,24.3306,24.3306
2020-01-20,24.3183,24.3183,24.3183,24.3183
2020-01-21,24.2611,24.2611,24.2611,24.2611
2020-01-22,24.348,24.348,24.348,24.348
2020-01-23,24.5407,24.5407,24.5407,24.5407
2020-01-24,24.3359,24.3359,24.3359,24.3359
2020-01-27,24.5873,24.5873,24.5873,24.5873
2020-01-28,24.7257,24.7257,24.7257,24.7257
2020-01-29,24.8536,24.8536,24.8536,24.8536
2020-01-30,24.8599,24.8599,24.8599,24.8599
2020-01-31,25.0315,25.0315,25.0315,25.0315
2020-02-03,25.0574,25.0574,25.0574,25.0574
2020-02-04,24.8227,24.8227,24.8227,24.8227
2020-02-05,24.7623,24.7623,24.7623,24.7623
2020-02-06,24.5849,24.5849,24.5849,24.5849
2020-02-07,24.5413,24.5413,24.5413,24.5413
2020-02-10,24.5258,24.5258,24.5258,24.5258
2020-02-11,24.4159,24.4159,24.4159,24.4159
2020-02-12,24.5346,24.5346,24.5346,24.5346
2020-02-13,24.4706,24.4706,24.4706,24.4706
2020-02-14,24.4515,24.4515,24.4515,24.4515
2020-02-17,24.4473,24.4473,24.4473,24.4473
2020-02-18,24.4411,24.4411,24.4411,24.4411
2020-02-19,24.5385,24.5385,24.5385,24.5385
2020-02-20,24.4876,24.4876,24.4876,24.4876
2020-02-21,24.4737,24.4737,24.4737,24.4737
2020-02-24,24.5203,24.5203,24.5203,24.5203
2020-02-25,24.535,24.535,24.535,24.535
2020-02-26,24.6407,24.6407,24.6407,24.6407
2020-02-27,24.5564,24.5564,24.5564,24.5564
2020-02-28,24.5805,24.5805,24.5805,24.5805
2020-03-02,24.8396,24.8396,24.8396,24.8396
2020-03-03,24.9383,24.9383,24.9383,24.9383
2020-03-04,24.8459,24.8459,24.8459,24.8459
2020-03-05,24.7453,24.7453,24.7453,24.7453
2020-03-06,24.9387,24.9387,24.9387,24.9387
2020-03-09,25.0158,25.0158,25.0158,25.0158
2020-03-10,25.3382,25.3382,25.3382,25.3382
2020-03-11,25.6626,25.6626,25.6626,25.6626
2020-03-12,25.8475,25.8475,25.8475,25.8475
2020-03-13,26.0447,26.0447,26.0447,26.0447
2020-03-16,26.5433,26.5433,26.5433,26.5433
2020-03-17,27.0817,27.0817,27.0817,27.0817
2020-03-18,27.33,27.33,27.33,27.33
2020-03-19,27.8536,27.8536,27.8536,27.8536
2020-03-20,27.8215,27.8215,27.8215,27.8215
2020-03-23,28.1917,28.1917,28.1917,28.1917
2020-03-24,27.7624,27.7624,27.7624,27.7624
2020-03-25,27.9233,27.9233,27.9233,27.9233
2020-03-26,28.1421,28.1421,28.1421,28.1421
2020-03-27,28.073,28.073,28.073,28.073
2020-03-30,28.0363,28.0363,28.0363,28.0363
2020-03-31,27.4973,27.4973,27.4973,27.4973
2020-04-01,27.7267,27.7267,27.7267,27.7267
2020-04-02,27.577,27.577,27.577,27.577
2020-04-03,27.3346,27.3346,27.3346,27.3346
2020-04-06,27.245,27.245,27.245,27.245
2020-04-07,27.089,27.089,27.089,27.089
2020-04-08,27.2674,27.2674,27.2674,27.2674
2020-04-09,27.248,27.248,27.248,27.248
2020-04-14,27.1971,27.1971,27.1971,27.1971
2020-04-15,27.1899,27.1899,27.1899,27.1899
2020-04-16,27.1743,27.1743,27.1743,27.1743
2020-04-17,27.0756,27.0756,27.0756,27.0756
2020-04-20,27.0698,27.0698,27.0698,27.0698
2020-04-21,27.0765,27.0765,27.0765,27.0765
2020-04-22,27.0661,27.0661,27.0661,27.0661
2020-04-23,27,27,27,27
2020-04-24,27.1884,27.1884,27.1884,27.1884
2020-04-27,27.0929,27.0929,27.0929,27.0929
2020-04-28,27.0284,27.0284,27.0284,27.0284
2020-04-29,26.9723,26.9723,26.9723,26.9723
2020-04-30,26.9567,26.9567,26.9567,26.9567
2020-05-04,26.9903,26.9903,26.9903,26.9903
2020-05-05,26.9627,26.9627,26.9627,26.9627
2020-05-06,26.9027,26.9027,26.9027,26.9027
2020-05-07,26.8206,26.8206,26.8206,26.8206
2020-05-08,26.8443,26.8443,26.8443,26.8443
2020-05-12,26.8121,26.8121,26.8121,26.8121
2020-05-13,26.6863,26.6863,26.6863,26.6863
2020-05-14,26.685,26.685,26.685,26.685
2020-05-15,26.634,26.634,26.634,26.634
2020-05-18,26.5727,26.5727,26.5727,26.5727
2020-05-19,26.5086,26.5086,26.5086,26.5086
2020-05-20,26.5936,26.5936,26.5936,26.5936
2020-05-21,26.7959,26.7959,26.7959,26.7959
2020-05-22,26.7589,26.7589,26.7589,26.7589
2020-05-25,26.8838,26.8838,26.8838,26.8838
2020-05-26,26.9157,26.9157,26.9157,26.9157
2020-05-27,27.0027,27.0027,27.0027,27.0027
2020-05-28,26.9011,26.9011,26.9011,26.9011
2020-05-29,26.8845,26.8845,26.8845,26.8845
2020-06-01,26.8289,26.8289,26.8289,26.8289
2020-06-02,26.828,26.828,26.828,26.828
2020-06-03,26.7769,26.7769,26.7769,26.7769
2020-06-04,26.7024,26.7024,26.7024,26.7024
2020-06-05,26.6058,26.6058,26.6058,26.6058
2020-06-09,26.6394,26.6394,26.6394,26.6394
2020-06-10,26.5988,26.5988,26.5988,26.5988
2020-06-12,26.734,26.734,26.734,26.734
2020-06-15,26.8664,26.8664,26.8664,26.8664
2020-06-16,26.7337,26.7337,26.7337,26.7337
2020-06-17,26.8014,26.8014,26.8014,26.8014
2020-06-18,26.7674,26.7674,26.7674,26.7674
2020-06-19,26.7256,26.7256,26.7256,26.7256
2020-06-22,26.6579,26.6579,26.6579,26.6579
2020-06-23,26.5974,26.5974,26.5974,26.5974
