Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,24.0251,24.0251,24.0251,24.0251
2016-01-05,24.0534,24.0534,24.0534,24.0534
2016-01-07,24.104,24.104,24.104,24.104
2016-01-08,24.0451,24.0451,24.0451,24.0451
2016-01-11,23.4552,23.4552,23.4552,23.4552
2016-01-12,23.1928,23.1928,23.1928,23.1928
2016-01-13,23.2278,23.2278,23.2278,23.2278
2016-01-14,23.9461,23.9461,23.9461,23.9461
2016-01-15,24.344,24.344,24.344,24.344
2016-01-18,24.7491,24.7491,24.7491,24.7491
2016-01-19,24.6934,24.6934,24.6934,24.6934
2016-01-20,24.5951,24.5951,24.5951,24.5951
2016-01-21,24.4976,24.4976,24.4976,24.4976
2016-01-22,24.8071,24.8071,24.8071,24.8071
2016-01-25,24.8026,24.8026,24.8026,24.8026
2016-01-26,24.8502,24.8502,24.8502,24.8502
2016-01-27,24.8604,24.8604,24.8604,24.8604
2016-01-28,25.152,25.152,25.152,25.152
2016-01-29,25.5477,25.5477,25.5477,25.5477
2016-02-01,25.4624,25.4624,25.4624,25.4624
2016-02-02,25.7062,25.7062,25.7062,25.7062
2016-02-03,25.7503,25.7503,25.7503,25.7503
2016-02-04,25.7613,25.7613,25.7613,25.7613
2016-02-05,25.9001,25.9001,25.9001,25.9001
2016-02-08,25.8502,25.8502,25.8502,25.8502
2016-02-09,25.9602,25.9602,25.9602,25.9602
2016-02-10,25.7069,25.7069,25.7069,25.7069
2016-02-11,25.7174,25.7174,25.7174,25.7174
2016-02-12,25.7066,25.7066,25.7066,25.7066
2016-02-15,26.7531,26.7531,26.7531,26.7531
2016-02-16,26.8237,26.8237,26.8237,26.8237
2016-02-17,27.1003,27.1003,27.1003,27.1003
2016-02-18,26.1553,26.1553,26.1553,26.1553
2016-02-19,26.8918,26.8918,26.8918,26.8918
2016-02-22,27.1101,27.1101,27.1101,27.1101
2016-02-23,27.2466,27.2466,27.2466,27.2466
2016-02-24,27.225,27.225,27.225,27.225
2016-02-25,27.2887,27.2887,27.2887,27.2887
2016-02-26,27.1414,27.1414,27.1414,27.1414
2016-02-29,27.1482,27.1482,27.1482,27.1482
2016-03-01,27.0855,27.0855,27.0855,27.0855
2016-03-02,26.6451,26.6451,26.6451,26.6451
2016-03-03,26.222,26.222,26.222,26.222
2016-03-04,26.7558,26.7558,26.7558,26.7558
2016-03-07,26.2558,26.2558,26.2558,26.2558
2016-03-08,26.257,26.257,26.257,26.257
2016-03-09,26.1413,26.1413,26.1413,26.1413
2016-03-10,25.4994,25.4994,25.4994,25.4994
2016-03-11,25.9008,25.9008,25.9008,25.9008
2016-03-14,26.4945,26.4945,26.4945,26.4945
2016-03-15,26.8396,26.8396,26.8396,26.8396
2016-03-16,26.9277,26.9277,26.9277,26.9277
2016-03-17,26.6739,26.6739,26.6739,26.6739
2016-03-18,26.3986,26.3986,26.3986,26.3986
2016-03-21,26.609,26.609,26.609,26.609
2016-03-22,26.0665,26.0665,26.0665,26.0665
2016-03-23,25.9986,25.9986,25.9986,25.9986
2016-03-24,26.318,26.318,26.318,26.318
2016-03-29,26.4882,26.4882,26.4882,26.4882
2016-03-30,26.257,26.257,26.257,26.257
2016-03-31,26.1769,26.1769,26.1769,26.1769
2016-04-01,26.0273,26.0273,26.0273,26.0273
2016-04-04,25.9068,25.9068,25.9068,25.9068
2016-04-05,26.0915,26.0915,26.0915,26.0915
2016-04-06,25.9405,25.9405,25.9405,25.9405
2016-04-07,25.8028,25.8028,25.8028,25.8028
2016-04-08,25.6295,25.6295,25.6295,25.6295
2016-04-11,25.6042,25.6042,25.6042,25.6042
2016-04-12,25.5034,25.5034,25.5034,25.5034
2016-04-13,25.4693,25.4693,25.4693,25.4693
2016-04-14,25.6718,25.6718,25.6718,25.6718
2016-04-15,25.4337,25.4337,25.4337,25.4337
2016-04-18,25.4759,25.4759,25.4759,25.4759
2016-04-19,25.453,25.453,25.453,25.453
2016-04-20,25.4315,25.4315,25.4315,25.4315
2016-04-21,25.3714,25.3714,25.3714,25.3714
2016-04-22,25.3626,25.3626,25.3626,25.3626
2016-04-25,25.3494,25.3494,25.3494,25.3494
2016-04-26,25.2825,25.2825,25.2825,25.2825
2016-04-27,25.2066,25.2066,25.2066,25.2066
2016-04-28,25.1921,25.1921,25.1921,25.1921
2016-04-29,25.2036,25.2036,25.2036,25.2036
2016-05-02,25.1283,25.1283,25.1283,25.1283
2016-05-04,25.1808,25.1808,25.1808,25.1808
2016-05-05,25.1306,25.1306,25.1306,25.1306
2016-05-06,25.167,25.167,25.167,25.167
2016-05-09,25.1821,25.1821,25.1821,25.1821
2016-05-10,25.2292,25.2292,25.2292,25.2292
2016-05-11,25.3788,25.3788,25.3788,25.3788
2016-05-12,25.317,25.317,25.317,25.317
2016-05-13,25.4931,25.4931,25.4931,25.4931
2016-05-16,25.3778,25.3778,25.3778,25.3778
2016-05-17,25.2346,25.2346,25.2346,25.2346
2016-05-18,25.2296,25.2296,25.2296,25.2296
2016-05-19,25.2652,25.2652,25.2652,25.2652
2016-05-20,25.1972,25.1972,25.1972,25.1972
2016-05-23,25.1036,25.1036,25.1036,25.1036
2016-05-24,25.1352,25.1352,25.1352,25.1352
2016-05-25,25.0847,25.0847,25.0847,25.0847
2016-05-27,25.1231,25.1231,25.1231,25.1231
2016-05-30,25.1562,25.1562,25.1562,25.1562
2016-05-31,25.1238,25.1238,25.1238,25.1238
2016-06-01,25.0797,25.0797,25.0797,25.0797
2016-06-02,25.0345,25.0345,25.0345,25.0345
2016-06-03,24.9424,24.9424,24.9424,24.9424
2016-06-06,24.9851,24.9851,24.9851,24.9851
2016-06-07,24.9661,24.9661,24.9661,24.9661
2016-06-08,24.9509,24.9509,24.9509,24.9509
2016-06-09,25.0335,25.0335,25.0335,25.0335
2016-06-10,25.013,25.013,25.013,25.013
2016-06-13,24.9635,24.9635,24.9635,24.9635
2016-06-14,24.9104,24.9104,24.9104,24.9104
2016-06-15,24.8899,24.8899,24.8899,24.8899
2016-06-16,24.8859,24.8859,24.8859,24.8859
2016-06-17,24.9128,24.9128,24.9128,24.9128
2016-06-20,24.8869,24.8869,24.8869,24.8869
2016-06-21,24.8818,24.8818,24.8818,24.8818
2016-06-22,24.885,24.885,24.885,24.885
2016-06-23,24.8987,24.8987,24.8987,24.8987
2016-06-24,24.8564,24.8564,24.8564,24.8564
2016-06-27,24.8998,24.8998,24.8998,24.8998
2016-06-28,24.8943,24.8943,24.8943,24.8943
2016-06-29,24.8629,24.8629,24.8629,24.8629
2016-06-30,24.8303,24.8303,24.8303,24.8303
2016-07-01,24.8261,24.8261,24.8261,24.8261
2016-07-04,24.8202,24.8202,24.8202,24.8202
2016-07-05,25.866,25.866,25.866,25.866
2016-07-06,24.8302,24.8302,24.8302,24.8302
2016-07-07,24.8055,24.8055,24.8055,24.8055
2016-07-08,24.8299,24.8299,24.8299,24.8299
2016-07-11,24.8511,24.8511,24.8511,24.8511
2016-07-12,24.8328,24.8328,24.8328,24.8328
2016-07-13,24.8186,24.8186,24.8186,24.8186
2016-07-14,24.7851,24.7851,24.7851,24.7851
2016-07-15,24.7952,24.7952,24.7952,24.7952
2016-07-18,24.8615,24.8615,24.8615,24.8615
2016-07-19,24.8008,24.8008,24.8008,24.8008
2016-07-20,24.8067,24.8067,24.8067,24.8067
2016-07-21,24.8186,24.8186,24.8186,24.8186
2016-07-22,24.8141,24.8141,24.8141,24.8141
2016-07-25,24.7951,24.7951,24.7951,24.7951
2016-07-26,24.7858,24.7858,24.7858,24.7858
2016-07-27,24.7904,24.7904,24.7904,24.7904
2016-07-28,24.8042,24.8042,24.8042,24.8042
2016-07-29,24.804,24.804,24.804,24.804
2016-08-01,24.8188,24.8188,24.8188,24.8188
2016-08-02,24.821,24.821,24.821,24.821
2016-08-03,24.817,24.817,24.817,24.817
2016-08-04,24.7995,24.7995,24.7995,24.7995
2016-08-05,24.8178,24.8178,24.8178,24.8178
2016-08-08,24.8275,24.8275,24.8275,24.8275
2016-08-09,24.8111,24.8111,24.8111,24.8111
2016-08-10,24.8215,24.8215,24.8215,24.8215
2016-08-11,24.852,24.852,24.852,24.852
2016-08-12,25.0946,25.0946,25.0946,25.0946
2016-08-16,25.0026,25.0026,25.0026,25.0026
2016-08-17,25.0989,25.0989,25.0989,25.0989
2016-08-18,25.2005,25.2005,25.2005,25.2005
2016-08-19,25.2532,25.2532,25.2532,25.2532
2016-08-22,25.309,25.309,25.309,25.309
2016-08-23,25.3065,25.3065,25.3065,25.3065
2016-08-24,25.3479,25.3479,25.3479,25.3479
2016-08-25,25.3586,25.3586,25.3586,25.3586
2016-08-26,25.4502,25.4502,25.4502,25.4502
2016-08-29,25.5023,25.5023,25.5023,25.5023
2016-08-30,25.6827,25.6827,25.6827,25.6827
2016-08-31,26.1418,26.1418,26.1418,26.1418
2016-09-01,26.6458,26.6458,26.6458,26.6458
2016-09-02,26.6422,26.6422,26.6422,26.6422
2016-09-05,26.7608,26.7608,26.7608,26.7608
2016-09-06,26.8432,26.8432,26.8432,26.8432
2016-09-07,26.6909,26.6909,26.6909,26.6909
2016-09-08,26.6214,26.6214,26.6214,26.6214
2016-09-09,26.6748,26.6748,26.6748,26.6748
2016-09-12,26.6125,26.6125,26.6125,26.6125
2016-09-13,26.2603,26.2603,26.2603,26.2603
2016-09-14,26.2659,26.2659,26.2659,26.2659
2016-09-15,26.214,26.214,26.214,26.214
2016-09-16,25.8543,25.8543,25.8543,25.8543
2016-09-19,25.7583,25.7583,25.7583,25.7583
2016-09-20,25.832,25.832,25.832,25.832
2016-09-21,25.9415,25.9415,25.9415,25.9415
2016-09-22,25.9022,25.9022,25.9022,25.9022
2016-09-23,25.9851,25.9851,25.9851,25.9851
2016-09-26,25.9121,25.9121,25.9121,25.9121
2016-09-27,25.7942,25.7942,25.7942,25.7942
2016-09-28,25.8192,25.8192,25.8192,25.8192
2016-09-29,25.8974,25.8974,25.8974,25.8974
2016-09-30,25.9126,25.9126,25.9126,25.9126
2016-10-03,25.916,25.916,25.916,25.916
2016-10-04,25.8201,25.8201,25.8201,25.8201
2016-10-05,25.9006,25.9006,25.9006,25.9006
2016-10-06,25.8794,25.8794,25.8794,25.8794
2016-10-07,25.8249,25.8249,25.8249,25.8249
2016-10-10,25.8482,25.8482,25.8482,25.8482
2016-10-11,25.8475,25.8475,25.8475,25.8475
2016-10-12,25.8318,25.8318,25.8318,25.8318
2016-10-13,25.7997,25.7997,25.7997,25.7997
2016-10-14,25.7876,25.7876,25.7876,25.7876
2016-10-17,25.7814,25.7814,25.7814,25.7814
2016-10-18,25.654,25.654,25.654,25.654
2016-10-19,25.6597,25.6597,25.6597,25.6597
2016-10-20,25.7248,25.7248,25.7248,25.7248
2016-10-21,25.6609,25.6609,25.6609,25.6609
2016-10-24,25.6561,25.6561,25.6561,25.6561
2016-10-25,25.694,25.694,25.694,25.694
2016-10-26,25.5608,25.5608,25.5608,25.5608
2016-10-27,25.5363,25.5363,25.5363,25.5363
2016-10-28,25.4788,25.4788,25.4788,25.4788
2016-10-31,25.5255,25.5255,25.5255,25.5255
2016-11-02,25.5436,25.5436,25.5436,25.5436
2016-11-03,25.6012,25.6012,25.6012,25.6012
2016-11-04,25.5839,25.5839,25.5839,25.5839
2016-11-07,25.5598,25.5598,25.5598,25.5598
2016-11-08,25.5506,25.5506,25.5506,25.5506
2016-11-09,25.5559,25.5559,25.5559,25.5559
2016-11-10,25.5815,25.5815,25.5815,25.5815
