Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-01-02,0.0441238,0.0441866,0.0440063,0.0440795
2020-01-03,0.0441026,0.0441224,0.0438752,0.0440346
2020-01-06,0.0439986,0.0443715,0.043963,0.0443567
2020-01-07,0.0443274,0.0443439,0.0440595,0.0441749
2020-01-08,0.0441581,0.0442341,0.043985,0.0440197
2020-01-09,0.0440368,0.0440762,0.0439253,0.0439918
2020-01-10,0.0439998,0.0440587,0.0438924,0.0440275
2020-01-13,0.0439924,0.0442034,0.0439831,0.0441692
2020-01-14,0.0441753,0.0442625,0.0441456,0.0442034
2020-01-15,0.0442263,0.0445196,0.0441852,0.0444494
2020-01-16,0.0444547,0.0444814,0.0442184,0.0442541
2020-01-17,0.0442437,0.044285,0.0440822,0.0440935
2020-01-20,0.0441133,0.0442315,0.0440655,0.0442204
2020-01-21,0.0442122,0.0443841,0.0441355,0.0441392
2020-01-22,0.0441565,0.0441969,0.0439893,0.0441386
2020-01-23,0.0441258,0.044156,0.0438851,0.0439385
2020-01-24,0.0439267,0.0440102,0.0438139,0.0438216
2020-01-27,0.0438408,0.0438577,0.0435793,0.0436207
2020-01-28,0.0436245,0.0437139,0.0435829,0.043691
2020-01-29,0.0437,0.0437292,0.0435438,0.0436041
2020-01-30,0.0436118,0.0437241,0.0435772,0.0436918
2020-01-31,0.0436987,0.0440133,0.0436157,0.0439686
2020-02-03,0.0440005,0.0440005,0.0438656,0.0438899
2020-02-04,0.0438781,0.0440154,0.0438548,0.0440063
2020-02-05,0.0439943,0.0440573,0.0438347,0.0438479
2020-02-06,0.0438631,0.0442022,0.0438166,0.0439491
2020-02-07,0.0439443,0.0439792,0.043667,0.0437115
2020-02-10,0.0437042,0.0437918,0.0435646,0.0435925
2020-02-11,0.0435984,0.0438385,0.0435796,0.0438074
2020-02-12,0.0437888,0.0439344,0.0437411,0.0437733
2020-02-13,0.0437692,0.0437828,0.0435551,0.043581
2020-02-14,0.0435899,0.0437618,0.0435309,0.0435477
2020-02-17,0.0435838,0.0437713,0.043515,0.0436211
2020-02-18,0.0436317,0.0436363,0.0432328,0.0432576
2020-02-19,0.0432485,0.0433501,0.0431988,0.0433107
2020-02-20,0.0433062,0.0433144,0.0429941,0.0430343
2020-02-21,0.04304,0.0433576,0.0430352,0.0432833
2020-02-24,0.0432158,0.0432904,0.0428267,0.0429583
2020-02-25,0.0429694,0.0431369,0.0428848,0.0430934
2020-02-26,0.0430765,0.0430997,0.042831,0.0429267
2020-02-27,0.0429376,0.043522,0.0429216,0.043442
2020-02-28,0.0434671,0.043473,0.0430513,0.043383
2020-03-02,0.0433935,0.0437696,0.0433542,0.0436531
2020-03-03,0.0436815,0.0442362,0.0435157,0.0439431
2020-03-04,0.0439874,0.0442366,0.0437773,0.0440238
2020-03-05,0.0440197,0.0443361,0.0439155,0.0442848
2020-03-06,0.0442537,0.0447221,0.0441958,0.044484
2020-03-09,0.0447119,0.0449549,0.0444903,0.0448067
2020-03-10,0.0446865,0.0446867,0.0439649,0.0440383
2020-03-11,0.0441466,0.0443023,0.0436405,0.0436453
2020-03-12,0.0436748,0.0439055,0.0421297,0.0426354
2020-03-13,0.0426423,0.0429339,0.0420718,0.0422189
2020-03-16,0.0424247,0.0425809,0.0406989,0.0409118
2020-03-17,0.0408532,0.0410738,0.04037,0.0405707
2020-03-18,0.0406029,0.0407544,0.038935,0.0393502
2020-03-19,0.0394739,0.039598,0.0383599,0.0383935
2020-03-20,0.0384147,0.0397697,0.0383533,0.0392186
2020-03-23,0.0390562,0.0394745,0.0385417,0.0386056
2020-03-24,0.0386766,0.0393164,0.0386584,0.0389057
2020-03-25,0.0390029,0.0397646,0.0388392,0.039681
2020-03-26,0.0396944,0.0406861,0.0396297,0.0405859
2020-03-27,0.0406223,0.0408063,0.0401019,0.040729
2020-03-30,0.0407193,0.0407193,0.0401011,0.0404531
2020-03-31,0.0404362,0.0404518,0.0400291,0.0403049
2020-04-01,0.0403032,0.0403281,0.0395872,0.0398692
2020-04-02,0.0397752,0.0399572,0.0392383,0.0394522
2020-04-03,0.0394174,0.0394431,0.0387767,0.0388547
2020-04-06,0.038956,0.0393062,0.0389405,0.0391261
2020-04-07,0.0391391,0.0402241,0.0391212,0.0401191
2020-04-08,0.0401215,0.0402081,0.0398157,0.0400186
2020-04-09,0.039997,0.040663,0.0399147,0.0404603
2020-04-13,0.0405927,0.040715,0.0403379,0.0405795
2020-04-14,0.0405892,0.0409618,0.0405589,0.0409175
2020-04-15,0.0409338,0.0409651,0.0401381,0.0404006
2020-04-16,0.0403476,0.0403647,0.0396939,0.0398506
2020-04-17,0.0399909,0.0401941,0.0397251,0.0399227
2020-04-20,0.0399559,0.0399978,0.0395773,0.0396479
2020-04-21,0.0396652,0.0397346,0.0393005,0.0394491
2020-04-22,0.0394792,0.0395883,0.0391097,0.0392106
2020-04-23,0.0392123,0.0393947,0.0390083,0.0391725
2020-04-24,0.0391965,0.0397122,0.0391048,0.0396997
2020-04-27,0.0398032,0.0400705,0.0395949,0.039683
2020-04-28,0.0396849,0.0400357,0.0395653,0.0398051
2020-04-29,0.0398172,0.0401534,0.03981,0.0401384
2020-04-30,0.0401171,0.0404694,0.0399031,0.0403985
2020-05-01,0.0403897,0.0405482,0.0402628,0.040314
2020-05-04,0.0403177,0.0403788,0.0401237,0.0402761
2020-05-05,0.0402802,0.0403985,0.0400744,0.0400787
2020-05-06,0.040136,0.0401403,0.0397912,0.0398435
