Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,0.0402181,0.0405088,0.0399025,0.0400871
2016-01-05,0.0400758,0.0401031,0.0396405,0.0397947
2016-01-06,0.0398054,0.0399423,0.039674,0.0398858
2016-01-07,0.0398702,0.0404588,0.0398471,0.0404143
2016-01-08,0.0403897,0.0404116,0.0400165,0.0404088
2016-01-11,0.0405351,0.0406207,0.0401558,0.0401836
2016-01-12,0.0401999,0.0403356,0.040055,0.0401818
2016-01-13,0.0401384,0.0402893,0.039989,0.0402416
2016-01-14,0.0402693,0.0404875,0.0401149,0.0402073
2016-01-15,0.0401992,0.040639,0.0401732,0.0403902
2016-01-18,0.040391,0.0404351,0.0402219,0.0403002
2016-01-19,0.0402802,0.0404613,0.0401795,0.0403535
2016-01-20,0.0403683,0.0405986,0.0402312,0.0402799
2016-01-21,0.040263,0.0403812,0.0398854,0.0402151
2016-01-22,0.0401986,0.0402178,0.0399326,0.0399511
2016-01-25,0.039945,0.0401782,0.0399299,0.0401545
2016-01-26,0.0401539,0.0402374,0.0400434,0.0402202
2016-01-27,0.0402126,0.0403833,0.0401592,0.0403106
2016-01-28,0.0403486,0.04058,0.040227,0.0404893
2016-01-29,0.0404791,0.0405098,0.0400099,0.0400895
2016-02-01,0.0400749,0.0403713,0.0400202,0.0403023
2016-02-02,0.0403011,0.0404786,0.0402906,0.0403933
2016-02-03,0.0404282,0.041216,0.0403528,0.0411144
2016-02-04,0.0410086,0.0415614,0.0409697,0.0414914
2016-02-05,0.0414497,0.0415046,0.04109,0.0412008
2016-02-08,0.0411602,0.041429,0.0409724,0.0413608
2016-02-09,0.0413856,0.0419447,0.0412773,0.0417793
2016-02-10,0.0417735,0.0418531,0.0413052,0.0417765
2016-02-11,0.0417119,0.0420711,0.0416847,0.0418846
2016-02-12,0.0418538,0.0419097,0.0414778,0.0416091
2016-02-15,0.0415403,0.0415603,0.0411806,0.0412822
2016-02-16,0.0413099,0.0413933,0.0411707,0.0412424
2016-02-17,0.0412218,0.0413546,0.0411049,0.0411701
2016-02-18,0.0411726,0.04125,0.0409791,0.0410973
2016-02-19,0.0411135,0.0412148,0.0409633,0.0411879
2016-02-22,0.0411347,0.0411643,0.0406868,0.0407533
2016-02-23,0.040743,0.0408881,0.0406405,0.0407682
2016-02-24,0.0407732,0.0408308,0.0405278,0.0407067
2016-02-25,0.0407267,0.0408355,0.0406098,0.0407324
2016-02-26,0.0407403,0.040907,0.0403794,0.040458
2016-02-29,0.0403851,0.0405398,0.0401332,0.0401784
2016-03-01,0.0402185,0.0402487,0.0400753,0.0401997
2016-03-02,0.0401966,0.0402419,0.040032,0.0401663
2016-03-03,0.0401635,0.0405448,0.0401192,0.0405096
2016-03-04,0.0404842,0.0407952,0.0403301,0.0406562
2016-03-07,0.0406273,0.0407385,0.0404415,0.0406941
2016-03-08,0.0407058,0.0408824,0.0406583,0.0407088
2016-03-09,0.040699,0.0407859,0.0404765,0.0406613
2016-03-10,0.0406469,0.0414338,0.0400519,0.0413174
2016-03-11,0.0412983,0.0414132,0.0409554,0.0412198
2016-03-14,0.0412698,0.0412943,0.0409727,0.0410504
2016-03-15,0.0410642,0.0411205,0.0409564,0.0410806
2016-03-16,0.0410802,0.0415363,0.0408938,0.0414405
2016-03-17,0.0414446,0.041928,0.0414135,0.0418344
2016-03-18,0.0418519,0.0419275,0.0416448,0.0417051
2016-03-21,0.0416992,0.0417451,0.0415678,0.0415856
2016-03-22,0.0415894,0.0416594,0.0414063,0.0414847
2016-03-23,0.0414915,0.0415141,0.0412705,0.0413432
2016-03-24,0.0413479,0.0413517,0.0412006,0.041302
2016-03-28,0.0412637,0.0414377,0.0412322,0.0413543
