Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,1116.05,1124.77,1113.94,1123.91,674985
2020-01-03,1124.37,1126.85,1119.14,1121.44,967860
2020-01-06,1121.44,1121.9,1108.36,1118.43,804081
2020-01-07,1119.22,1122.37,1115.66,1117.64,878719
2020-01-08,1118.05,1118.76,1111.4,1118.22,1254675
2020-01-09,1120.2,1128.29,1118.93,1126.66,1634023
2020-01-10,1126.66,1134.55,1126.66,1133.67,1386321
2020-01-13,1134.86,1139.17,1134.29,1137.41,973429
2020-01-14,1137.53,1141.13,1134.82,1139.1,1312224
2020-01-15,1138.83,1138.99,1131.79,1133.09,1360182
2020-01-16,1133.11,1136.43,1126.61,1133.26,959546
2020-01-17,1133.26,1140.72,1132.13,1132.99,798579
2020-01-20,1132.93,1136.97,1128.91,1131.45,455507
2020-01-21,1131.79,1132.08,1125.52,1130.12,1085237
2020-01-22,1130.28,1140.66,1130.28,1140.48,1229010
2020-01-23,1140.45,1142.53,1134.29,1135.4,1324988
2020-01-24,1135.4,1144.17,1135.18,1142.95,1032933
2020-01-27,1142.95,1143.02,1128.84,1131.58,960736
2020-01-28,1131.67,1131.74,1107.36,1107.47,2341244
2020-01-29,1107.36,1111.5,1090.64,1097.59,1906503
2020-01-30,1097.59,1100.57,1069.95,1074.39,2688449
2020-01-31,1074.39,1087.42,1072.46,1072.46,2647662
2020-02-03,1072.46,1086.4,1072.46,1085.15,1871942
2020-02-04,1086.33,1092.56,1083.03,1090.21,2260715
2020-02-05,1092.58,1103.65,1091.33,1103.37,2158675
2020-02-06,1103.6,1115.87,1103.55,1114.6,3928179
2020-02-07,1114.46,1114.59,1106.97,1110.72,1303214
2020-02-10,1110.8,1114.66,1106.35,1111.12,1402727
2020-02-11,1112.6,1113.92,1106.04,1107.19,1167737
2020-02-12,1107.39,1111.81,1102.94,1102.94,2158032
2020-02-13,1104.42,1106.41,1100.75,1104.1,1488480
2020-02-14,1104.12,1107.19,1100.26,1102.93,1637383
2020-02-17,1102.93,1106.03,1095.98,1097.45,1086761
2020-02-18,1097.45,1098.3,1092.65,1096.92,2415406
2020-02-19,1096.65,1104.74,1096.65,1104.21,1942034
2020-02-20,1104.21,1106.43,1097.03,1097.16,1377356
2020-02-21,1097.16,1097.98,1089.04,1089.32,1035864
2020-02-24,1089.29,1089.29,1054.12,1058.69,2977974
2020-02-25,1058.65,1062.01,1040.04,1041.44,2669640
2020-02-26,1039.77,1039.77,1013.18,1032.25,4936442
2020-02-27,1031.34,1031.8,1001.23,1002.24,2508197
2020-02-28,1000.52,1000.52,970.81,977.11,7517903
2020-03-02,977.29,996.11,977.11,985.13,4968264
2020-03-03,986.64,1020.6,986.6,1011.53,3873126
2020-03-04,1011.53,1016.3,999.84,1007.24,2565905
2020-03-05,1007.87,1019.09,985.23,990.66,3261288
2020-03-06,990.64,994.89,959.18,962.89,3666888
2020-03-09,962.79,962.79,901.42,913.47,6520878
2020-03-10,912.8,944.39,912.67,912.76,3333251
2020-03-11,912.9,926.29,884.6,885.1,4035495
2020-03-12,884.67,884.67,810.82,815.74,5595242
2020-03-13,818.36,857.43,807.57,825.15,6076743
2020-03-16,825.15,825.15,743.33,761.12,6717417
2020-03-17,758.84,774.64,723.62,738.23,5990531
2020-03-18,738.23,738.23,690.37,690.37,6869476
2020-03-19,690.47,721.9,690.47,709.15,5781189
2020-03-20,712.15,755.63,712.11,738.8,7023774
2020-03-23,738.36,747.39,719.27,738.28,5190287
2020-03-24,738.56,800.39,737.1,794.74,4989114
2020-03-25,796.2,859.12,796.2,807.65,8153014
2020-03-26,807.31,810.36,792.02,801.57,3611363
2020-03-27,801.57,803.97,772.3,781.23,3334104
2020-03-30,781.23,781.23,757.5,770.44,3070958
2020-03-31,770.44,799.89,770.44,789.88,4964198
2020-04-01,789.82,790.73,767.27,770.67,2246820
2020-04-02,770.49,782.02,770.14,780.85,2166985
2020-04-03,781.74,785.09,769.34,774.34,1947059
2020-04-06,774.34,807.96,774.34,807.95,3253762
2020-04-07,809.75,836.75,809.75,820.33,4988222
2020-04-08,821.44,827.66,797.43,827.66,4042257
2020-04-09,828.96,846.03,828.96,840.08,2414494
2020-04-14,840.79,856.3,840.79,849.38,316453
2020-04-15,852.46,859.38,824.49,825.11,8273580
2020-04-16,828.86,856.5,828.59,844.46,5290504
2020-04-17,844.91,865.16,844.91,851.36,4226780
2020-04-20,851.18,857.61,842.4,846.68,2991850
2020-04-21,846.55,846.55,824.47,830.16,4700650
2020-04-22,831.64,838.78,831.24,834.31,2753262
2020-04-23,833.88,856.09,833.88,855.19,3493995
2020-04-24,855.63,857.34,843.94,851.91,2335009
2020-04-27,851.88,865.12,851.88,859.33,2457617
2020-04-28,859.77,869.03,853.6,867.16,3321276
2020-04-29,867.39,885.36,865.21,883.95,2840762
2020-04-30,884.07,896.47,872.39,873.17,2345430
2020-05-04,873.27,873.27,853.46,862.95,2717416
2020-05-05,866.63,879.18,866.63,876.32,2412915
2020-05-06,876.13,880.84,866.61,872.71,3094355
2020-05-07,872.52,883.16,872.52,881.34,3576009
2020-05-11,881.4,891.77,881.4,885.94,6203779
2020-05-12,886.31,899.24,884.48,890.61,4660699
2020-05-13,890.16,890.16,878.71,881.67,3326139
2020-05-14,882.03,882.49,854.22,858.96,4635000
2020-05-15,859.5,873.78,858.87,867.44,2245464
2020-05-18,867.44,879.97,867.44,878.65,2437860
2020-05-19,878.69,886.53,868.52,868.92,2865730
2020-05-20,871.57,878.59,865.71,878.57,1895808
2020-05-21,878.01,878.07,867.57,869.69,1606601
2020-05-22,869.71,880.07,863.05,877.01,1899549
2020-05-25,877.01,882.6,876.08,882,1000540
2020-05-26,883.54,902.34,883.54,901.15,5337434
2020-05-27,901.6,917.69,899.88,907.14,5355360
2020-05-28,907.29,914.9,895.88,901.62,4242580
2020-05-29,901.62,902.11,890.55,895.52,8710785
2020-06-01,896.16,912.93,896.16,907.62,1732713
2020-06-02,908.98,921.9,908.25,921.82,2842218
2020-06-03,921.88,930.74,918.85,927.53,4697150
2020-06-04,927.53,936.64,927.53,932.42,4107545
2020-06-05,932.18,959.11,932.18,957.55,6859060
2020-06-08,958.09,967.33,956.97,962.71,6579636
2020-06-09,963.82,967.61,939.79,945.08,5155729
2020-06-10,945.76,957.96,938.1,941.92,4088113
2020-06-11,942.01,942.01,901.11,907.84,4638400
2020-06-12,907.87,930.94,897.82,930.94,3902782
2020-06-15,929.82,929.82,910.84,923.2,2396462
2020-06-16,923.97,949.28,923.88,946.35,3502309
2020-06-17,946.8,947.7,932.45,933.41,3737885
2020-06-18,932.29,937.68,926.96,928.28,1988536
2020-06-19,928.35,939.84,926.56,927.97,4624670
2020-06-22,928.59,930.85,922.82,927.12,2445558
2020-06-23,926.42,937.52,926.42,933.25,1665356
2020-06-24,933.78,936.78,917.91,919.31,1650338
2020-06-25,915.57,921.03,904.38,917.79,3463261
2020-06-26,917.79,928.05,917.79,920.88,2289988
2020-06-29,920.23,926.3,918.73,924.68,1673050
2020-06-30,925.42,927.1,915.38,918,3803061
2020-07-01,918,925.88,916.19,923.72,1294237
2020-07-02,924.88,941.69,917.04,938.45,3186681
2020-07-03,938.5,940.92,929.15,938,1131772
2020-07-07,937.98,949.17,935.6,936.79,2656975
2020-07-08,937.15,943.29,934.65,938.85,1297613
2020-07-09,940.53,947.76,939.13,945.58,1377488
2020-07-10,945.32,945.52,932.96,941.73,1294118
2020-07-13,942.48,955.06,942.48,952.47,1878152
2020-07-14,950.6,950.6,933.38,937.84,2113722
2020-07-15,937.4,953.61,937.4,948.11,2236168
2020-07-16,947.44,951.79,945.13,949.09,2599669
2020-07-17,948.34,950.85,945.43,949.03,978656
2020-07-20,949.05,952.92,944.7,952.85,1218149
2020-07-21,952.85,963.12,949.96,950.8,3961008
2020-07-22,950.8,953.61,938.75,944.08,1025399
2020-07-23,944.08,947.36,934.07,934.07,1041485
2020-07-24,934.67,934.67,914.77,915.87,1626070
2020-07-27,915.74,920.5,912.26,914.02,1341266
2020-07-28,914.4,919.92,909.27,909.42,1971503
2020-07-29,909.42,912.14,902.01,904.1,1292987
2020-07-30,904.1,907.48,876.7,876.94,2339705
2020-07-31,876.9,897.11,875.04,882.67,2695570
2020-08-03,882.67,898.96,881.34,892.18,1520860
2020-08-04,892.27,906.66,892.27,897.77,1512003
2020-08-05,897.8,906.89,897.8,906.41,1291224
2020-08-06,907.06,908.61,901.77,906.52,1450074
2020-08-07,908.06,909.24,902.44,907.26,1067478
2020-08-10,907.35,919.86,907.35,914.89,966201
2020-08-11,915.09,935.65,915.09,929.08,1680288
2020-08-12,929.35,934.39,918.6,927.53,1862823
2020-08-13,927.75,929.35,915.42,916.77,1145484
2020-08-14,916.86,919.97,908.71,913.06,833413
2020-08-17,913.06,916.3,909.47,911,447716
2020-08-18,910.82,911.96,902.88,904.25,1300248
2020-08-19,905.24,907.51,897.23,897.45,1406077
2020-08-20,896.91,898.03,885.31,889.01,2172870
2020-08-21,887.96,899.16,887.61,896.7,1376695
2020-08-24,898.71,903.68,898.15,899.94,1064487
2020-08-25,900.21,914.94,900.21,909.05,1844021
2020-08-26,909.41,913.04,906.47,908.57,1523171
2020-08-27,908.68,912.64,903.79,903.88,919608
2020-08-28,903.88,909.95,897.9,908.09,1166698
2020-08-31,908.47,912.85,903.49,903.49,2944869
2020-09-01,903.49,907.54,899.32,903.33,1007318
2020-09-02,903.81,912.74,901.22,901.48,3273033
2020-09-03,902.15,910.58,901.76,901.76,944216
2020-09-04,901.76,908.89,891.42,902.62,1300417
2020-09-07,902.49,912.6,902,909.17,635834
2020-09-08,910.67,914,901.58,903.66,1120159
2020-09-09,903.55,906.13,898.68,900.68,1209932
2020-09-10,900.74,906.2,900.09,904.69,1264659
2020-09-11,904.16,904.53,894.74,897.77,752547
2020-09-14,896.72,901.02,896.33,898.7,1094718
2020-09-15,898.71,903.7,896.36,898.33,2369478
2020-09-16,898.72,901.36,892.9,893.54,1222940
2020-09-17,893.52,894.07,882.07,883.63,1933930
2020-09-18,883.45,886.6,871.67,873.66,3929309
2020-09-21,873.14,876.02,854.78,861.87,2245739
2020-09-22,860.45,872.16,859.82,868.05,1261811
2020-09-23,868.53,873.37,861.29,861.69,2093103
2020-09-24,861.69,863.49,856.77,863.09,1817018
2020-09-25,863.09,867.62,860.18,863.93,2363993
2020-09-29,863.66,873.74,862.28,862.28,1162055
2020-09-30,864.28,869.35,861.22,868.33,2206146
2020-10-01,868.33,871.44,857.13,859.11,1343852
2020-10-02,859.65,862.84,854.35,857.72,1127194
2020-10-05,858.11,864.25,858.11,862.93,1140803
2020-10-06,863.78,874.33,863.78,874.33,2058469
2020-10-07,872.61,876.69,869.07,873.18,4038914
2020-10-08,874.58,874.78,871.04,874.68,2888159
2020-10-09,875.19,877.07,872.42,872.5,1004032
2020-10-12,872.5,873.16,867.25,870.27,2237196
2020-10-13,870.27,870.27,865.94,868.03,1283453
2020-10-14,868.44,875.75,867.91,872.94,1368354
2020-10-15,872.57,872.57,850.63,855.46,2202778
2020-10-16,855.01,868.71,855.01,867.08,1760908
2020-10-19,867.08,875.33,866.98,872.2,658422
2020-10-20,871.99,873.1,866.98,870.08,1665763
2020-10-21,870.08,873.94,857.71,857.71,1178548
2020-10-22,857.03,864.95,851.44,857.82,3233318
