Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,954.17,954.17,936.65,938.23,6602128
2016-01-05,939.03,946.07,934.43,941.07,4130662
2016-01-06,941,944.96,935.64,936.17,873384
2016-01-07,932.15,932.15,914.28,916.09,4759320
2016-01-08,916.9,932.24,916.9,924.04,962837
2016-01-11,924,926.79,915.13,918.64,2690221
2016-01-12,917.68,923.78,913.97,919.62,877747
2016-01-13,920.31,924.6,914.73,914.73,5319396
2016-01-14,912.41,913.61,895.53,898.62,3323986
2016-01-15,899.63,905.16,880.23,881.12,3168534
2016-01-18,881.17,888.59,867.75,867.85,3090310
2016-01-19,867.8,883.71,867.8,873.98,3437021
2016-01-20,874,874,853.06,855.92,10022920
2016-01-21,855.61,862.74,853.74,859.87,2802188
2016-01-22,860.39,886.77,860.39,886.77,4237820
2016-01-25,887.53,895.97,882.65,883.85,4388800
2016-01-26,883.55,894.57,877.46,892.81,1035800
2016-01-27,892.83,902.92,892.83,902.56,3449855
2016-01-28,902.56,912.72,901.21,909.43,1478520
2016-01-29,908.98,922.87,908.98,921.07,4852671
2016-02-01,921.07,926.33,911.65,914.71,1876649
2016-02-02,914.04,916.77,902.2,902.2,3172137
2016-02-03,902.01,903.18,886.33,886.72,2042323
2016-02-04,888.82,902.44,888.59,897.48,4157795
2016-02-05,895.61,906.48,895.02,904.79,4745213
2016-02-08,903.33,905.11,871.61,872.53,2167017
2016-02-09,873.28,877.81,845.86,852.97,1407952
2016-02-10,854.96,872.09,854.57,863.74,1590044
2016-02-11,860.62,861.1,837.25,847.23,2853302
2016-02-12,844.95,857.35,840.06,845.92,1023945
2016-02-15,848.96,876.17,848.55,875.81,1194966
2016-02-16,877.5,879.39,861.37,861.37,4562026
2016-02-17,861.89,880.37,861.89,877.55,1598298
2016-02-18,875.38,887.18,873.84,878.51,2107037
2016-02-19,876.86,877.51,865.77,871.22,1554026
2016-02-22,872.01,887.39,871.56,886.64,1511514
2016-02-23,886.64,886.74,876.93,879.15,3014394
2016-02-24,879.15,879.55,854.87,855.43,6891583
2016-02-25,857.2,869.77,857.14,865.67,1362843
2016-02-26,866.53,875.02,864.25,865.37,3484234
2016-02-29,864.83,865.62,852.73,857.61,2231926
2016-03-01,857.61,871.89,856.77,871.89,1035732
2016-03-02,871.91,882.58,871.91,879.32,4321551
2016-03-03,879.32,883.06,877.69,883.06,5420978
2016-03-04,883.06,889.78,882.28,889.69,16412437
2016-03-07,889.52,890,880.71,888.01,6338978
2016-03-08,887.72,893.55,883.85,892.56,6978222
2016-03-09,892.68,893.19,884.59,886.71,6458586
2016-03-10,886.65,900.89,879.67,896.15,2532098
2016-03-11,896.82,907.56,894.28,907.56,12510752
2016-03-14,908.1,916.97,907.03,913.94,5640838
2016-03-15,913.94,914.02,906.17,909.99,10923417
2016-03-16,909.99,913.59,907.07,910.2,6773273
2016-03-17,910.2,915.38,892.64,898.32,5069362
2016-03-18,898.49,915.29,894.97,914.85,9735594
2016-03-21,915.01,918.63,906.2,908.44,8626105
2016-03-22,907.89,909.55,896.84,901.14,4727976
2016-03-23,902.78,906.21,886.29,890.47,1160104
2016-03-24,890.6,890.6,884.38,888.93,3938180
2016-03-29,888.99,894,888.68,893.17,1411446
2016-03-30,892.63,903.34,892.63,900.82,10638777
2016-03-31,901.04,902.38,891.51,899.91,3820794
2016-04-01,899.36,900.85,889.33,892.92,3337883
2016-04-04,895.18,898.26,892.63,896.85,3456713
2016-04-05,896.85,896.85,888.01,889.53,5271493
2016-04-06,889.92,894.19,884.39,884.39,4556682
2016-04-07,885.13,888.8,881.38,884.3,6358092
2016-04-08,883.3,899.33,883.3,899.33,2474198
2016-04-11,899.26,899.9,891.32,893.56,3758550
2016-04-12,894.03,895.42,886.46,887.01,6739013
2016-04-13,888.81,897.29,888.71,895.62,5244832
2016-04-14,896.44,896.92,882.94,895.62,4599388
2016-04-15,895.21,906.63,892.03,906.63,4856205
2016-04-18,906.63,906.63,896.67,904.65,5064342
2016-04-19,904.6,915.45,904.6,915.23,4993645
2016-04-20,915.65,916.94,906.23,916.94,7676089
2016-04-21,918.41,919.9,911.73,918.6,6631386
2016-04-22,918.54,919.6,911.92,919.6,4274538
2016-04-25,918.77,921.45,905.99,912.35,9279396
2016-04-26,912.35,915.72,908.15,914.89,9347981
2016-04-27,914.84,918.54,911.08,913.71,1628217
2016-04-28,913.76,913.94,905.68,909.01,15617873
2016-04-29,909.01,916.13,908.14,916.04,4547475
2016-05-02,915.81,917.09,909.34,909.34,17093990
2016-05-03,909.46,912.94,894.12,896.67,24833894
2016-05-04,895.34,902.43,882.96,886.94,30143968
2016-05-05,886.46,893.6,883.55,886.83,913851
2016-05-06,886.83,886.83,866.29,867.79,1779029
2016-05-09,867.63,879.33,863.46,864.2,705799
2016-05-10,864.66,874.72,864.66,869.46,732895
2016-05-11,870.68,871.4,864.16,866.93,654856
2016-05-12,864.4,878.79,863.75,871.43,673175
2016-05-13,871.8,878.29,869.19,873.87,486885
2016-05-16,873.94,882.66,872.05,882.66,475659
2016-05-17,879.56,886.48,869.31,869.31,875383
2016-05-18,870.37,873.38,864.72,873.38,773015
2016-05-19,873.83,877.39,870.09,873.17,671914
2016-05-20,873.17,880.25,871.6,875.19,768123
2016-05-23,875.37,880.84,870.99,874.83,788999
2016-05-24,874.99,878.19,872.94,876.22,779045
2016-05-25,876.9,891.59,876.9,890.28,1083659
2016-05-26,890.37,892.32,884.81,891.3,709197
2016-05-27,893.81,896.04,887.24,890.47,1029957
2016-05-30,890.49,892.68,887.47,892.68,295589
2016-05-31,892.17,896.92,891.38,893.76,3194617
2016-06-01,893.98,893.98,884.19,888.21,960296
2016-06-02,887.19,894.51,885.75,888.41,725461
2016-06-03,888.78,889.94,879.51,879.51,999298
2016-06-06,880.04,893.12,879.51,892.27,1574994
2016-06-07,892.1,899.23,891.38,895.2,2024084
2016-06-08,895.21,895.21,870.04,874.05,1305557
2016-06-09,874.32,874.32,861.76,867.79,996596
2016-06-10,867.76,870.64,833.92,840.05,1404762
2016-06-13,839.46,839.62,815.2,818.38,1210336
2016-06-14,818.53,818.53,806.64,808.2,1132056
2016-06-15,809.72,822.02,809.72,817.58,1200318
2016-06-16,817.87,820.02,807.37,815.86,804766
2016-06-17,817.48,834.16,817.28,831.21,1578257
2016-06-20,831.5,846.18,831.5,838.94,2234564
2016-06-21,838.94,845.56,834.13,842.31,2859318
2016-06-22,842.48,854.28,842.48,852.05,2595147
2016-06-23,848.74,862.88,848.04,855.26,1760587
2016-06-24,854.84,854.84,770.45,819.58,2785574
2016-06-27,819.7,821.46,786.22,790.09,1466883
2016-06-28,790.37,809.95,789.63,806.43,1552272
2016-06-29,806.45,815.05,804.24,808.21,2000467
2016-06-30,808.4,817.16,808.07,816.91,3629569
2016-07-01,819.75,824.43,815.39,824.43,4381689
2016-07-04,824.71,827.88,819.12,826.29,2326672
2016-07-07,826.8,826.8,813.94,814.58,3312099
2016-07-08,816.19,817.1,810.06,811.26,962102
