Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
02.01.2020;66.25;66.25;66.25;66.25
03.01.2020;68.58;68.58;68.58;68.58
06.01.2020;68.9;68.9;68.9;68.9
07.01.2020;68.27;68.27;68.27;68.27
08.01.2020;65.46;65.46;65.46;65.46
09.01.2020;65.32;65.32;65.32;65.32
10.01.2020;64.91;64.91;64.91;64.91
13.01.2020;64.24;64.24;64.24;64.24
14.01.2020;64.57;64.57;64.57;64.57
15.01.2020;64.07;64.07;64.07;64.07
16.01.2020;64.63;64.63;64.63;64.63
17.01.2020;64.86;64.86;64.86;64.86
20.01.2020;65.18;65.18;65.18;65.18
21.01.2020;64.6;64.6;64.6;64.6
22.01.2020;63.2;63.2;63.2;63.2
23.01.2020;62.07;62.07;62.07;62.07
24.01.2020;60.7;60.7;60.7;60.7
27.01.2020;59.33;59.33;59.33;59.33
28.01.2020;59.47;59.47;59.47;59.47
29.01.2020;59.84;59.84;59.84;59.84
30.01.2020;58.35;58.35;58.35;58.35
31.01.2020;56.67;56.67;56.67;56.67
03.02.2020;54.4;54.4;54.4;54.4
04.02.2020;53.94;53.94;53.94;53.94
05.02.2020;55.35;55.35;55.35;55.35
06.02.2020;54.94;54.94;54.94;54.94
07.02.2020;54.5;54.5;54.5;54.5
10.02.2020;53.29;53.29;53.29;53.29
11.02.2020;54.05;54.05;54.05;54.05
12.02.2020;55.79;55.79;55.79;55.79
13.02.2020;56.35;56.35;56.35;56.35
14.02.2020;57.3;57.3;57.3;57.3
18.02.2020;57.78;57.78;57.78;57.78
19.02.2020;59.39;59.39;59.39;59.39
20.02.2020;59.09;59.09;59.09;59.09
21.02.2020;58.33;58.33;58.33;58.33
24.02.2020;56.21;56.21;56.21;56.21
25.02.2020;55.04;55.04;55.04;55.04
26.02.2020;53.38;53.38;53.38;53.38
27.02.2020;51.36;51.36;51.36;51.36
28.02.2020;50;50;50;50
02.03.2020;53.16;53.16;53.16;53.16
03.03.2020;51.72;51.72;51.72;51.72
04.03.2020;51.57;51.57;51.57;51.57
05.03.2020;50.05;50.05;50.05;50.05
06.03.2020;45.45;45.45;45.45;45.45
09.03.2020;33.42;33.42;33.42;33.42
10.03.2020;37.78;37.78;37.78;37.78
11.03.2020;35.84;35.84;35.84;35.84
12.03.2020;32.76;32.76;32.76;32.76
13.03.2020;34.97;34.97;34.97;34.97
16.03.2020;29.78;29.78;29.78;29.78
17.03.2020;28.87;28.87;28.87;28.87
18.03.2020;24.88;24.88;24.88;24.88
19.03.2020;28;28;28;28
20.03.2020;27.21;27.21;27.21;27.21
23.03.2020;27.51;27.51;27.51;27.51
24.03.2020;27.71;27.71;27.71;27.71
25.03.2020;27.51;27.51;27.51;27.51
26.03.2020;26.sie;26.sie;26.sie;26.sie
27.03.2020;25.sty;25.sty;25.sty;25.sty
30.03.2020;22.lip;22.lip;22.lip;22.lip
31.03.2020;25.94;25.94;25.94;25.94
01.04.2020;24.74;24.74;24.74;24.74
02.04.2020;29.94;29.94;29.94;29.94
