Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,361,366.94,360.99,366.94,28183
2020-01-03,365.96,371.07,365.73,371.07,209580
2020-01-07,370.32,379.33,370.32,379.33,239240
2020-01-08,378.44,379.91,378.3,379.91,173652
2020-01-09,378.62,378.98,378.49,378.98,36555
2020-01-10,381.06,386.68,381.06,386.68,540614
2020-01-13,395.64,395.64,394.18,394.18,207925
2020-01-14,392.23,392.23,388.61,388.61,32250
2020-01-15,382.96,390.28,382.96,388.48,68081
2020-01-16,393.53,393.53,390.91,392.48,59732
2020-01-17,389.18,389.18,386.76,387.58,33743
2020-01-20,383.85,384.24,383.7,384.24,36990
2020-01-21,388.8,388.8,380.87,380.87,122663
2020-01-22,379.92,379.92,378.67,378.67,67880
2020-01-23,377.12,378.42,377.12,378.42,26608
2020-01-24,379.96,384.78,379.96,384.78,110177
2020-01-27,375.94,378.02,375.43,378.02,63744
2020-01-28,372.63,376.3,372.63,376.3,55565
2020-01-29,378.7,378.7,370.99,371.51,51850
2020-01-30,374.31,374.31,369.62,372.25,42392
2020-01-31,374.95,376.09,374.95,375.08,33224
2020-02-03,379.94,379.94,375.85,377.82,134109
2020-02-04,386.77,386.77,385.2,386.77,321838
2020-02-05,383.72,383.72,382.55,382.55,55487
2020-02-06,379.31,382.93,379.31,382.53,44124
2020-02-07,383.58,383.58,380.77,380.77,13282
2020-02-10,386.75,387.17,386.75,387.17,31293
2020-02-11,390.38,391.43,389.81,389.81,32495
2020-02-12,393.95,393.95,390.22,390.22,164580
2020-02-13,394.01,394.01,389.37,389.37,306315
2020-02-14,386.63,392.94,386.63,392.94,18488
2020-02-17,391.39,391.39,389.25,390.14,37518
2020-02-18,388.21,392.38,388.21,392.38,84489
2020-02-19,388.03,389.19,385.76,389.19,20084
2020-02-20,389.49,389.49,388.04,388.36,30669
2020-02-21,387.58,388.84,387.58,388.43,21118
2020-02-24,373.92,375.64,373.92,375.28,72995
2020-02-25,373.53,376.36,373.53,375.04,142266
2020-02-26,372.02,372.02,371,371.73,115495
2020-02-27,370.63,370.63,357.5,358.23,72538
