Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-01-04,377.74,382.19,377.13,382.19,103200
2016-01-05,386.77,386.77,385.25,385.82,205328
2016-01-07,380.53,380.53,376.32,377.38,475634
2016-01-08,373.7,374.26,370.7,374.26,186443
2016-01-11,371.02,373.87,370.27,373.87,118310
2016-01-12,373.46,382.22,373.46,382.22,261658
2016-01-13,380.96,382.68,379.49,382.68,91895
2016-01-14,378.95,378.95,373.29,373.29,295144
2016-01-15,370.76,370.76,366.98,370.39,348565
2016-01-18,362.42,362.42,359.79,359.79,139434
2016-01-19,358.43,358.43,349.93,356.54,130478
2016-01-20,348.14,348.14,340.45,340.45,434305
2016-01-21,339.94,342.16,339.94,342.16,346915
2016-01-22,342.44,342.44,338.1,338.1,266461
2016-01-25,343.36,345.15,340.23,340.23,108475
2016-01-26,339.74,339.74,339.44,339.51,224590
2016-01-27,345.36,347.89,344.56,344.56,126757
2016-01-28,350.14,359.45,350.14,359.45,138100
2016-01-29,358.51,358.81,352.38,352.38,160575
2016-02-01,349.72,351.84,349.72,351.84,159708
2016-02-02,351.81,353.03,351.81,353.03,164708
2016-02-03,346.34,354.31,346.34,354.31,197014
2016-02-04,353.69,353.69,349.88,349.88,127895
2016-02-05,349.24,349.5,348.66,348.66,173316
2016-02-08,347.66,347.66,343.7,344.27,60362
2016-02-09,341.91,343.4,341.91,343.4,320272
2016-02-10,344.2,347.24,344.2,346.31,592986
2016-02-11,346.92,347.22,346.92,347.22,688923
2016-02-12,345.47,351.32,345.47,350.76,194150
2016-02-15,344.25,355.72,344.25,355.72,223348
2016-02-16,358.18,361.37,354.32,361.37,464423
2016-02-17,361.75,363.78,361.75,363.78,168480
2016-02-18,362.33,362.85,360.81,360.81,114143
2016-02-19,360.45,361.04,359.88,361.04,109444
2016-02-22,368.51,368.91,368.35,368.35,101397
2016-02-23,371.53,373.34,371.53,373.34,96504
2016-02-24,370.84,371.36,370.41,371.36,172779
2016-02-25,372.45,372.45,370.87,371.55,109000
2016-02-26,387.01,389.87,385.78,389.87,244954
2016-02-29,379.88,380.2,379.88,380.2,127190
2016-03-01,373.93,380.94,373.93,379.44,108500
2016-03-02,385,389.01,385,389.01,325828
2016-03-03,388.24,389.59,388.24,389.59,130969
2016-03-04,391.85,391.85,390.13,390.13,147868
2016-03-07,398.36,402.55,398.36,399.85,301607
2016-03-08,402.29,402.29,401.45,401.45,139825
2016-03-09,400.54,405.82,400.54,405.82,161255
2016-03-10,409.86,413.48,409.86,413.48,96421
2016-03-11,409.33,409.49,407.62,407.62,397448
2016-03-14,414.52,414.52,412.05,412.05,303709
2016-03-15,407.61,411.92,407.51,411.92,102438
2016-03-16,411.04,411.04,411.04,411.04,111466
2016-03-17,409.26,412.71,409.26,412.71,306448
2016-03-18,412.9,425.68,412.9,425.68,317765
2016-03-21,425,425,423.27,423.27,138837
2016-03-22,419.7,421.5,419.7,421.5,258899
2016-03-23,424,424,424,424,566455
2016-03-24,428.1,430.15,428.1,430.15,277135
2016-03-29,424.2,424.2,421.24,421.24,393215
2016-03-30,424.39,424.39,418.87,418.87,291951
2016-03-31,413.06,420.64,413.06,420.64,296460
2016-04-01,413.11,416.52,413.11,416.52,632525
2016-04-04,420.32,430.52,420.32,430.52,336723
2016-04-05,423.26,428,423.26,428,165837
2016-04-06,425.35,425.35,419.76,419.76,105083
2016-04-07,426.87,429.78,426.87,429.78,712373
2016-04-08,426.92,428.55,426.92,428.33,503267
2016-04-11,441.62,441.62,437.77,437.77,239936
2016-04-12,438.29,442.21,438.29,442.21,228494
2016-04-13,451.36,452.01,451.36,451.42,192368
2016-04-14,454.72,454.72,453.61,454.32,205970
2016-04-15,448.82,448.82,444.37,445.75,227979
2016-04-18,433.56,437.84,433.56,437.59,162919
2016-04-19,442.09,450.83,442.09,450.83,309624
2016-04-20,461.41,461.41,452.83,452.83,223079
2016-04-21,462.22,462.22,457.73,458.5,122333
2016-04-22,459.01,459.01,457.8,457.83,115123
2016-04-25,457.69,463.03,457.69,463.03,114835
2016-04-26,463.22,467.17,463.22,464.8,356010
2016-04-27,466.45,467.52,466.45,467.45,119634
2016-04-28,464.56,469.64,463.58,463.58,175070
2016-04-29,466.81,466.81,459.18,459.18,310247
2016-05-02,464.34,466.76,464.34,466.24,173433
2016-05-04,460.59,460.59,456.75,456.75,225837
2016-05-05,455.05,455.05,454.22,454.22,111739
2016-05-06,451.89,453.12,451.89,453.12,139810
2016-05-09,450.19,450.19,446.23,446.23,266370
2016-05-10,439.43,446.83,439.43,446.83,52380
2016-05-11,447.57,452.59,447.57,452.59,165260
2016-05-12,448.73,448.91,446.98,446.98,144659
2016-05-13,441.59,445.01,441.59,445.01,125849
2016-05-16,440.77,440.77,435.73,435.73,158112
2016-05-17,442.22,449.93,442.22,449.93,105940
2016-05-18,451.84,451.84,445.21,447.07,151422
2016-05-19,451.54,451.54,447.36,448.96,196869
2016-05-20,442.8,442.8,439.81,439.81,68964
2016-05-23,436.67,440.22,436.67,440.22,77899
2016-05-24,437.41,438.15,435.08,435.08,96934
2016-05-25,440.18,442.62,437.52,437.52,344855
2016-05-27,439.33,439.33,438.91,439.08,230673
2016-05-30,445.39,446.6,443.53,446.6,158919
2016-05-31,448.32,451.6,448.32,451.6,946223
2016-06-01,450.04,450.14,445.36,445.36,256844
2016-06-02,436.71,442.84,436.71,442.84,174199
2016-06-03,447.67,454.86,447.67,454.86,76502
2016-06-06,457.75,462.57,457.75,459.52,152188
2016-06-07,467.48,467.48,467.2,467.2,142414
2016-06-08,461.57,468.55,461.57,468.55,222256
2016-06-09,468.42,468.42,461.57,465.81,71969
2016-06-10,464.11,464.11,454.99,459.46,108554
2016-06-13,457.81,457.81,453.15,453.15,138469
2016-06-14,455.84,455.84,438.71,438.71,200065
2016-06-15,438.63,442.82,438.63,442.82,132011
2016-06-16,447.91,447.91,444.89,444.89,350164
2016-06-17,450.97,450.97,450.17,450.47,266343
2016-06-20,455.47,456.34,455.47,456.14,93956
2016-06-21,457.65,458.82,457.65,458.82,219280
2016-06-22,458.77,459.05,458.26,459.05,368821
2016-06-23,462.03,462.03,459.17,459.17,173947
2016-06-24,446.26,448.97,442.25,448.97,238280
2016-06-27,451.89,452.2,451.89,451.91,133594
2016-06-28,458.38,458.62,457.68,457.68,183505
2016-06-29,457.21,461.66,457.21,461.66,60827
2016-06-30,463.31,465.29,463.31,465.29,195244
2016-07-01,461.96,461.96,461.32,461.32,277106
2016-07-04,457.27,458.26,457.27,457.33,352241
2016-07-05,457.15,457.15,453.65,453.65,193749
2016-07-06,451.89,451.89,449.76,449.76,29996
2016-07-07,453.45,453.45,452.1,452.1,39548
2016-07-08,451.05,455.73,451.05,455.73,427061
2016-07-11,461.94,464.27,461.94,463.7,233960
2016-07-12,466.62,468.61,466.62,468.61,293466
2016-07-13,470.3,471.12,470.27,470.27,217454
2016-07-14,469.42,472.94,469.42,472.94,93870
2016-07-15,473.32,479.39,473.32,479.39,137930
2016-07-18,483.53,485.69,483.1,485.69,186112
2016-07-19,484.98,484.98,480.42,480.42,170774
2016-07-20,476.95,490.19,476.95,490.19,669432
2016-07-21,488.2,488.2,488.2,488.2,346373
2016-07-22,489.59,493.36,489.05,493.36,150925
2016-07-25,499.55,499.55,492.04,495.31,444483
2016-07-26,496.02,496.02,490.29,490.29,396203
2016-07-27,502.44,502.44,501.67,501.67,1368961
2016-07-28,503.5,506.12,503.5,506.04,829100
2016-07-29,509.95,509.95,505.62,505.62,305667
2016-08-01,530.22,530.22,516.44,516.44,839100
2016-08-02,512.72,518.56,512.72,518.56,1625095
2016-08-03,516.8,520.79,516.8,518.97,485326
2016-08-04,526.48,526.48,521.36,521.36,771498
2016-08-05,525.3,525.3,523.41,523.41,686342
2016-08-08,527.32,527.32,524.03,524.03,464688
2016-08-09,525.96,528.77,525.62,528.77,274215
2016-08-10,529.77,530.41,528.97,530.41,454924
2016-08-11,525.73,525.73,517.19,517.19,793792
2016-08-12,509.33,509.33,495,498.93,942269
2016-08-16,499,499,493.38,494.4,676537
2016-08-17,493.25,496.21,493.25,496.21,362463
2016-08-18,499.86,501.2,499.86,501.2,196161
2016-08-19,496.23,496.23,491.76,491.76,209220
2016-08-22,496.49,496.95,496.46,496.46,782990
2016-08-23,499.3,499.3,492.08,497.75,503532
2016-08-24,497.5,497.5,496.2,497.43,103951
2016-08-25,496.44,496.44,494.95,494.95,202601
2016-08-26,503.21,508.47,503.21,507.67,115737
2016-08-29,504.66,505.51,502.67,505.51,523252
2016-08-30,509.37,509.37,505.58,508.46,530901
2016-08-31,509.98,509.98,507.98,509.74,822161
2016-09-01,509.04,509.04,505,505,1131002
2016-09-02,505.77,514.17,505.5,514.17,728147
2016-09-05,519.34,520.06,518.91,520.06,490704
2016-09-06,521.26,521.45,520.14,521.45,256584
2016-09-07,523.02,526.11,522.58,522.58,600479
2016-09-08,529.33,529.33,527.72,528.7,335664
2016-09-09,526.93,526.93,518.7,518.7,260551
2016-09-12,517.72,517.72,513.17,513.17,270160
2016-09-13,515.37,523.71,515.37,522.72,216360
2016-09-14,522.59,523.33,522.59,523.33,245829
2016-09-15,525.8,526.15,524.79,524.79,569533
2016-09-16,526.42,526.42,520.79,520.79,643412
2016-09-19,526.67,526.67,522.82,526.25,239202
2016-09-20,525.26,525.26,520.07,520.07,123339
2016-09-21,514.34,514.34,509.63,509.63,221474
2016-09-22,508.23,519.86,508.23,519.86,341390
2016-09-23,521.26,523.18,521.26,523.18,129556
2016-09-26,524.44,524.44,523.38,523.84,201589
2016-09-27,516.84,516.84,510.7,513.49,347919
2016-09-28,512.17,512.17,512.17,512.17,503329
2016-09-29,513.18,514.58,511.21,511.21,551885
2016-09-30,504.55,508.73,504.55,508.73,314175
2016-10-03,511.13,511.13,508.25,508.25,212809
2016-10-04,507.64,508.09,505.03,505.03,249970
2016-10-05,504.54,506.83,504.54,506.83,266451
2016-10-06,509.2,511.95,509.2,511.95,115110
2016-10-07,514.92,514.92,513.37,513.37,191152
2016-10-10,513.37,515.78,513.37,515.78,148189
2016-10-11,518.62,518.62,516.69,517.89,221602
2016-10-12,515.08,516.89,515.08,516.89,106879
2016-10-13,517.24,519.28,516.18,516.18,153099
2016-10-14,517.19,517.19,513.91,513.91,147157
2016-10-17,517.53,517.72,513.01,513.01,146502
2016-10-18,510.61,510.61,508.62,509.47,305312
2016-10-19,507.47,515.82,507.47,513.46,316637
