Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-01-02,0.26346,0.26392,0.26274,0.26352
2020-01-03,0.26351,0.26373,0.26136,0.263
2020-01-06,0.26301,0.26462,0.26269,0.26458
2020-01-07,0.26459,0.26461,0.26242,0.26262
2020-01-08,0.26264,0.26319,0.26183,0.26246
2020-01-09,0.26241,0.26267,0.2613,0.26163
2020-01-10,0.26163,0.26285,0.26098,0.26266
2020-01-13,0.26234,0.26318,0.26211,0.26307
2020-01-14,0.26309,0.26431,0.26292,0.26353
2020-01-15,0.26356,0.26438,0.26308,0.26357
2020-01-16,0.26362,0.26397,0.26292,0.26321
2020-01-17,0.26322,0.26326,0.26137,0.26156
2020-01-20,0.26157,0.26192,0.26104,0.26154
2020-01-21,0.26155,0.26253,0.26096,0.26194
2020-01-22,0.26194,0.26215,0.26109,0.26176
2020-01-23,0.26176,0.26188,0.25983,0.26038
2020-01-24,0.26038,0.26077,0.25871,0.25898
2020-01-27,0.25919,0.25938,0.25735,0.25758
2020-01-28,0.25758,0.25822,0.25722,0.25806
2020-01-29,0.25806,0.2581,0.25648,0.25692
2020-01-30,0.25693,0.25751,0.2568,0.25703
2020-01-31,0.25702,0.25816,0.25616,0.25811
2020-02-03,0.25801,0.25814,0.25695,0.25738
2020-02-04,0.25737,0.25867,0.257,0.25842
2020-02-05,0.25842,0.25976,0.25796,0.25908
2020-02-06,0.25908,0.25933,0.25749,0.25784
2020-02-07,0.25784,0.25794,0.256,0.25609
2020-02-10,0.25619,0.25701,0.2554,0.25587
2020-02-11,0.25588,0.25705,0.25565,0.25658
2020-02-12,0.25658,0.25675,0.25551,0.25573
2020-02-13,0.25573,0.25595,0.25474,0.25525
2020-02-14,0.25526,0.25594,0.25495,0.25496
2020-02-17,0.255,0.25537,0.254,0.25442
2020-02-18,0.25438,0.25442,0.25246,0.25295
2020-02-19,0.25296,0.25334,0.25234,0.25315
2020-02-20,0.25313,0.25345,0.25178,0.25205
2020-02-21,0.25205,0.25345,0.25176,0.25283
2020-02-24,0.25216,0.2526,0.25109,0.252
