Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2016-01-04,0.25431,0.25487,0.25069,0.25194
2016-01-05,0.25192,0.25212,0.24879,0.2497
2016-01-06,0.24972,0.25009,0.24685,0.24772
2016-01-07,0.24772,0.25175,0.24764,0.25131
2016-01-08,0.25135,0.25142,0.2485,0.25025
2016-01-11,0.25098,0.25139,0.24867,0.24962
2016-01-12,0.24965,0.25019,0.24811,0.24878
2016-01-13,0.2488,0.25032,0.24793,0.24993
2016-01-14,0.24996,0.2508,0.24699,0.24717
2016-01-15,0.24716,0.24914,0.24338,0.24371
2016-01-18,0.24334,0.2447,0.2423,0.24419
2016-01-19,0.24418,0.24617,0.24381,0.24531
2016-01-20,0.24531,0.24619,0.24186,0.24219
2016-01-21,0.24221,0.24343,0.24085,0.242
2016-01-22,0.242,0.24395,0.24115,0.24213
2016-01-25,0.24192,0.24308,0.24184,0.2423
2016-01-26,0.24228,0.24441,0.24063,0.2443
2016-01-27,0.2443,0.24441,0.24244,0.24321
2016-01-28,0.24323,0.24583,0.2428,0.24555
2016-01-29,0.24552,0.24644,0.24422,0.2451
2016-02-01,0.24464,0.24824,0.24414,0.24752
2016-02-02,0.24771,0.24934,0.24695,0.24706
2016-02-03,0.24706,0.25182,0.24706,0.2509
2016-02-04,0.2511,0.2542,0.2505,0.25331
2016-02-05,0.25327,0.25473,0.25195,0.25297
2016-02-08,0.25249,0.25393,0.2499,0.25182
2016-02-09,0.25181,0.25485,0.25066,0.25376
2016-02-10,0.25376,0.25642,0.25296,0.256
2016-02-11,0.256,0.25725,0.25385,0.25577
2016-02-12,0.25575,0.25625,0.25452,0.25596
2016-02-15,0.25557,0.25563,0.25289,0.25398
2016-02-16,0.25398,0.2544,0.25234,0.25293
2016-02-17,0.25293,0.25392,0.25253,0.25309
2016-02-18,0.25308,0.25423,0.25235,0.25278
2016-02-19,0.25278,0.25482,0.25263,0.25475
2016-02-22,0.25423,0.25443,0.25198,0.25302
2016-02-23,0.25302,0.25331,0.2513,0.25149
2016-02-24,0.25149,0.25228,0.25082,0.25161
2016-02-25,0.25162,0.25349,0.25159,0.253
2016-02-26,0.25305,0.25406,0.24985,0.25039
2016-02-29,0.24988,0.25104,0.24966,0.25015
2016-03-01,0.25019,0.25129,0.24973,0.251
2016-03-02,0.25099,0.25183,0.24972,0.25145
2016-03-03,0.25145,0.25282,0.25066,0.25242
2016-03-04,0.25237,0.25502,0.25209,0.25461
2016-03-07,0.25412,0.25444,0.25257,0.25427
2016-03-08,0.25427,0.25571,0.25385,0.25457
2016-03-09,0.25454,0.25564,0.25365,0.25462
2016-03-10,0.25474,0.25836,0.25214,0.2577
2016-03-11,0.25773,0.26072,0.25683,0.25978
2016-03-14,0.25995,0.26018,0.25889,0.25952
2016-03-15,0.25952,0.25974,0.25803,0.25897
2016-03-16,0.25896,0.26195,0.25694,0.26147
2016-03-17,0.26149,0.26554,0.26088,0.26462
2016-03-18,0.26461,0.26524,0.26351,0.26447
2016-03-21,0.26437,0.26498,0.26359,0.26388
2016-03-22,0.2639,0.26448,0.26213,0.26352
2016-03-23,0.26352,0.26369,0.26179,0.2623
2016-03-24,0.26231,0.26258,0.26041,0.26184
2016-03-28,0.26183,0.26417,0.26173,0.26337
2016-03-29,0.26335,0.2662,0.26276,0.26584
2016-03-30,0.26584,0.26715,0.26435,0.26535
2016-03-31,0.26538,0.26895,0.26438,0.26823
2016-04-01,0.26823,0.2699,0.26735,0.2677
2016-04-04,0.26824,0.26918,0.26753,0.2686
2016-04-05,0.26853,0.26876,0.26629,0.26692
2016-04-06,0.26689,0.26789,0.26552,0.26689
2016-04-07,0.26689,0.2684,0.26404,0.26452
2016-04-08,0.26459,0.2661,0.26431,0.26543
2016-04-11,0.26545,0.26799,0.26528,0.26669
2016-04-12,0.26667,0.26746,0.26427,0.26543
2016-04-13,0.26546,0.26574,0.26262,0.26307
2016-04-14,0.26305,0.26322,0.26074,0.26185
2016-04-15,0.26185,0.26352,0.26154,0.26267
2016-04-18,0.26314,0.2633,0.26232,0.26272
2016-04-19,0.26271,0.26501,0.26235,0.26426
2016-04-20,0.26432,0.26565,0.264,0.2644
2016-04-21,0.26443,0.26461,0.26073,0.26115
2016-04-22,0.26116,0.26171,0.2566,0.25725
2016-04-25,0.25721,0.25778,0.25449,0.25551
2016-04-26,0.25549,0.25946,0.25502,0.25828
2016-04-27,0.25827,0.259,0.25628,0.25826
2016-04-28,0.25826,0.25937,0.25725,0.25819
2016-04-29,0.25819,0.26232,0.25796,0.26174
2016-05-02,0.2619,0.26325,0.26145,0.26317
2016-05-03,0.26315,0.26533,0.26135,0.26174
2016-05-04,0.26173,0.26235,0.26036,0.26095
2016-05-05,0.26098,0.26168,0.2573,0.25884
2016-05-06,0.25885,0.25928,0.25686,0.2572
2016-05-09,0.25717,0.25876,0.25672,0.25678
2016-05-10,0.25677,0.25824,0.25658,0.25738
2016-05-11,0.25737,0.2588,0.25711,0.25816
2016-05-12,0.25821,0.25878,0.2572,0.25769
2016-05-13,0.25771,0.25851,0.25584,0.2564
2016-05-16,0.2577,0.26018,0.25746,0.25886
2016-05-17,0.25886,0.2601,0.25867,0.25885
2016-05-18,0.25884,0.25887,0.25475,0.25514
2016-05-19,0.25513,0.25553,0.25373,0.25384
2016-05-20,0.25384,0.25453,0.25319,0.25405
2016-05-23,0.25395,0.25462,0.25165,0.25246
